City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hithadhoo,MV,83.19,clear sky,-0.6,73.0833,Scoop Guest House
10,Omealca,MX,76.96,overcast clouds,18.75,-96.7667,Yanga
12,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
13,Butaritari,KI,82.22,broken clouds,3.0707,172.7902,Isles Sunset Lodge
14,Lake City,US,80.31,scattered clouds,30.1897,-82.6393,Ramada Limited Lake City
15,Rikitea,PF,76.6,light rain,-23.1203,-134.9692,People ThankYou
26,Manavalakurichi,IN,80.33,scattered clouds,8.1333,77.3,Jebinrio home
34,Vaini,TO,79.14,clear sky,-21.2,-175.2,Keleti Beach Resort
38,Alyangula,AU,80.98,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
41,Bowen,AU,76.21,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
43,Lebanon,US,75.42,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
46,Paonta Sahib,IN,88.25,clear sky,30.45,77.6167,OYO 37501 The Brighton Hotel
49,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
51,Paracuru,BR,75.11,clear sky,-3.41,-39.0306,Hotel Vento Brasil
71,Pekalongan,ID,83.28,few clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
72,Pandan,PH,85.03,overcast clouds,14.0453,124.1694,Bonifacio Lodge
73,Jalu,LY,77.99,clear sky,29.0331,21.5482,صاحبة الفخامة
86,Key West,US,80.01,moderate rain,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
93,Labuhan,ID,85.06,scattered clouds,-6.8844,112.2051,DoubleFAG
94,Charters Towers,AU,78.53,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
100,Sulangan,PH,83.34,moderate rain,11.1373,123.7228,Maia's Beach Resort
101,Dingle,PH,86.07,few clouds,10.9995,122.6711,SEGAYA PROPERTY
106,Umm Lajj,SA,80.28,clear sky,25.0213,37.2685,Moon light Furnished Units
114,Atuona,PF,78.12,scattered clouds,-9.8,-139.0333,Villa Enata
117,Pandan Niog,PH,82.47,overcast clouds,6.2282,120.5631,
125,Salinopolis,BR,76.39,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
128,Kieta,PG,84.79,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
130,Naze,JP,79.72,broken clouds,28.3667,129.4833,Shishime Hotel
132,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
133,Sungaipenuh,ID,75.67,clear sky,-2.0833,101.3833,Penginapan Citra Alam
137,Victoria,HK,88.03,overcast clouds,22.2855,114.1577,Mini Central
140,Lorengau,PG,82.83,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
144,Arlit,NE,89.29,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
145,Galle,LK,79.59,heavy intensity rain,6.0367,80.217,Amangalla
146,Tebingtinggi,ID,82.58,broken clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
153,Yumen,CN,75.9,few clouds,40.2833,97.2,
154,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
159,Avera,US,78.55,scattered clouds,33.194,-82.5271,
161,Jingdezhen,CN,80.31,overcast clouds,29.2947,117.2079,Garden Hotel
166,Adrar,MR,84.94,broken clouds,20.5022,-10.0711,
167,Bryan,US,83.95,clear sky,30.6744,-96.37,Best Western Premier Bryan College Station
