City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,45.91,76,96,2.82,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,52.48,69,90,3.76,overcast clouds
2,Vao,NC,-22.6667,167.4833,73.31,79,99,22.19,overcast clouds
3,Cape Town,ZA,-33.9258,18.4232,62.38,86,0,5.75,clear sky
4,Geraldton,AU,-28.7667,114.6,57.61,82,0,13.8,clear sky
5,Casimiro De Abreu,BR,-22.4806,-42.2042,71.51,74,64,5.37,broken clouds
6,Butaritari,KI,3.0707,172.7902,80.65,77,61,8.03,light rain
7,Port Alfred,ZA,-33.5906,26.891,60.87,82,13,6.6,few clouds
8,Mar Del Plata,AR,-38.0023,-57.5575,51.1,80,75,2.3,broken clouds
9,Kahului,US,20.8947,-156.47,82.42,63,75,16.11,broken clouds
10,Rikitea,PF,-23.1203,-134.9692,76.86,74,12,13.33,few clouds
11,Talaya,RU,61.3833,152.75,42.6,68,96,5.61,overcast clouds
12,Kodiak,US,57.79,-152.4072,63.91,45,0,4.61,clear sky
13,Upernavik,GL,72.7868,-56.1549,28.02,96,100,5.39,light snow
14,Vaitape,PF,-16.5167,-151.75,81.37,62,2,15.88,clear sky
15,Hasaki,JP,35.7333,140.8333,72.28,64,1,3.24,clear sky
16,Ponta Do Sol,PT,32.6667,-17.1,66.83,72,75,8.14,broken clouds
17,Hofn,IS,64.2539,-15.2082,47.19,83,71,11.41,broken clouds
18,Busselton,AU,-33.65,115.3333,55.24,73,33,5.17,scattered clouds
19,Adrar,MR,20.5022,-10.0711,84.56,42,93,11.39,overcast clouds
20,Lubao,PH,14.9167,120.55,82.11,69,87,2.59,overcast clouds
21,Taoudenni,ML,22.6783,-3.9836,96.35,13,58,2.57,broken clouds
22,Jamestown,US,42.097,-79.2353,67.59,91,100,5.75,moderate rain
23,Nanortalik,GL,60.1432,-45.2371,39.02,79,100,5.61,overcast clouds
24,Port Elizabeth,ZA,-33.918,25.5701,53.89,94,0,3.44,clear sky
25,Matay,EG,28.419,30.7792,77.58,35,0,12.91,clear sky
26,Lander,US,42.833,-108.7307,79.2,23,75,0.0,broken clouds
27,Leesburg,US,39.1157,-77.5636,73.24,86,100,1.01,overcast clouds
28,Atuona,PF,-9.8,-139.0333,78.46,75,31,18.75,scattered clouds
29,Albany,US,42.6001,-73.9662,71.51,88,100,7.61,overcast clouds
30,College,US,64.8569,-147.8028,70.59,26,20,8.05,few clouds
31,Hobart,AU,-42.8794,147.3294,46.26,90,0,11.5,clear sky
32,Taksimo,RU,56.3444,114.8794,41.9,62,100,7.18,light rain
33,Kapaa,US,22.0752,-159.319,81.12,65,100,10.36,overcast clouds
34,Kruisfontein,ZA,-34.0033,24.7314,54.45,83,21,4.85,few clouds
35,Avarua,CK,-21.2078,-159.775,80.65,74,75,9.22,broken clouds
36,Airai,TL,-8.9266,125.4092,65.37,69,14,3.18,few clouds
37,Ushuaia,AR,-54.8,-68.3,35.26,87,100,21.85,light snow
38,Port Blair,IN,11.6667,92.75,82.44,83,75,8.05,mist
39,Wajima,JP,37.4,136.9,66.88,59,20,13.8,few clouds
40,Barrow,US,71.2906,-156.7887,32.02,86,100,19.57,snow
41,Nouadhibou,MR,20.931,-17.0347,67.98,88,40,13.8,scattered clouds
